Word 1	Word 2	Count	perMillion
of	the 	4366243	20275.245518931400
in	the 	2894637	13441.642131045600
to	the 	1479626	6870.845352902790
and	the 	1025597	4762.499700195220
on	the 	964486	4478.722427856640
for	the 	783204	3636.914709375800
by	the 	760195	3530.069276323840
at	the 	753829	3500.507886137010
with	the 	693051	3218.276944764850
as	a 	664015	3083.444314311690
from	the 	635935	2953.051000386750
is	a 	548759	2548.237341742840
as	the 	534228	2480.760659241290
the	first 	505475	2347.242177927760
to	be 	482554	2240.805384890950
of	a 	467677	2171.722004148020
in	a 	455855	2116.824933021930
he	was 	417225	1937.441253644410
It	is 	414046	1922.679133097140
it	was 	395379	1835.996369883570
is	the 	377399	1752.503784970090
that	the 	364673	1693.408866415650
one	of 	350762	1628.811238566290
such	as 	346612	1609.540146942770
with	a 	326179	1514.656721607000
during	the 	307726	1428.967696612090
was	a 	304161	1412.413132362010
was	the 	283429	1316.141259702040
and	a 	276888	1285.767233121440
part	of 	264889	1230.048238328520
to	a 	254811	1183.249669320840
of	his 	245608	1140.514282281970
for	a 	223533	1038.006005754440
the	same 	221637	1029.201670882590
as	well 	217549	1010.218484724280
has	been 	217521	1010.088462901280
can	be 	214956	998.177535186982
after	the 	214660	996.803018772388
known	as 	200750	932.210034559568
have	been 	195621	908.392822767509
number	of 	190103	882.769236363027
the	new 	189521	880.066639899198
the	city 	188596	875.771276103593
and	was 	184108	854.930635330974
into	the 	180507	838.208900165599
well	as 	179293	832.571525411152
by	a 	177083	822.309088667059
due	to 	174872	812.042008286430
in	his 	164431	763.557799216261
on	a 	164189	762.434039174600
had	been 	158769	737.265529150626
According	to 	146503	680.306683402642
There	are 	145436	675.351923218956
a	new 	137975	640.705751025437
and	in 	136920	635.806714480180
is	also 	136736	634.952285357595
under	the 	136275	632.811568914596
when	the 	135224	627.931106915482
and	is 	133920	621.875804872814
that	he 	132202	613.898037304329
over	the 	130408	605.567353359124
which	is 	129357	600.686891360010
which	was 	129192	599.920691331605
to	have 	128996	599.010538570591
there	is 	124824	579.637286943281
end	of 	124426	577.789119602037
did	not 	123198	572.086733936088
as	an 	121780	565.502057328340
is	an 	119703	555.857224243507
between	the 	115544	536.544339891162
in	which 	114726	532.745845204887
out	of 	112989	524.679848542222
has	a 	112713	523.398204858344
based	on 	111971	519.952626548789
through	the 	111607	518.262342849762
more	than 	109108	506.657895146826
is	not 	108202	502.450760445402
would	be 	106301	493.623207390868
was	also 	104698	486.179458023998
of	its 	104682	486.105159839426
of	their 	104604	485.742956189634
they	are 	101855	472.977599352751
they	were 	101335	470.562908354141
had	a 	101267	470.247141069708
he	had 	100228	465.422402709023
He	is 	99611	462.557278966442
This	is 	99382	461.493886199746
a	number 	99346	461.326715284458
may	be 	98174	455.884373264513
most	of 	98093	455.508238705115
member	of 	95634	444.089536463610
was	not 	94664	439.585209023895
used	to 	94639	439.469118110501
in	an 	93924	436.148917987412
For	example 	93450	433.947834269448
some	of 	92698	430.455819594535
from	a 	91966	427.056677650338
along	with 	91005	422.594142939445
use	of 	90658	420.982801061526
University	of 	90477	420.142302848548
at	a 	88867	412.666048025929
for	his 	88611	411.477277072767
she	was 	88445	410.706433407826
to	his 	88410	410.543906129073
within	the 	87692	407.209775096377
but	the 	83883	389.522163531558
that	it 	81587	378.860374045387
used	in 	80571	374.142439325026
a	few 	80073	371.829908330203
against	the 	79949	371.254097399766
because	of 	79086	367.246639069380
where	he 	78682	365.370609908921
into	a 	78527	364.650846245874
In	addition 	78437	364.232918957653
up	to 	78032	362.352246160659
a	large 	77611	360.397275179092
It	has 	77530	360.021140619693
before	the 	75999	352.911733083400
became	the 	75984	352.842078535364
was	an 	75430	350.269503894537
with	his 	74393	345.454052806924
while	the 	73722	342.338172691410
that	is 	73293	340.346052617556
This	was 	72923	338.627907099315
members	of 	72860	338.335357997560
able	to 	70785	328.699812185798
many	of 	70481	327.288146678919
located	in 	69894	324.562332032411
around	the 	69692	323.624317452182
city	of 	69537	322.904553789134
became	a 	69395	322.245157401052
when	he 	69104	320.893859169138
have	a 	68711	319.068910010573
He	also 	68601	318.558109991636
since	the 	68572	318.423444532098
which	he 	68572	318.423444532098
where	the 	68164	316.528840825497
a	small 	67998	315.757997160556
does	not 	67843	315.038233497508
returned	to 	67663	314.202378921066
about	the 	67467	313.292226160052
order	to 	67330	312.656047954649
who	had 	67306	312.544600677790
be	a 	67061	311.406909726522
which	the 	65351	303.466291250323
who	was 	65284	303.155167602425
born	in 	65173	302.639723946953
all	the 	64519	299.602785652547
including	the 	64292	298.548680158923
are	the 	64232	298.270061966776
until	the 	64226	298.242200147561
at	least 	63307	293.974698171171
rather	than 	63003	292.563032664291
High	School 	62748	291.378905347665
than	the 	61987	287.845097943930
all	of 	61545	285.792610595112
with	an 	61066	283.568308694469
that	they 	60507	280.972515870963
among	the 	60386	280.410635850132
version	of 	60385	280.405992213597
