Word 1	Word 2	Word 3	Count	perMillion
one	of	the 	235002	1091.263873183400
as	well	as 	178812	830.337936237437
part	of	the 	154193	716.016248362857
the	end	of 	101213	469.996384696775
a	number	of 	94823	440.323547233086
member	of	the 	70930	329.373139483488
end	of	the 	70661	328.124001255361
at	the	time 	70516	327.450673957671
the	University	of 	69766	323.967946555830
known	as	the 	67940	315.488666241480
in	order	to 	64713	300.503651140490
such	as	the 	63349	294.169730905674
a	member	of 	59516	276.370672063996
as	part	of 	55648	258.409085943566
due	to	the 	55120	255.957245852670
most	of	the 	54497	253.064260290873
some	of	the 	51488	239.091557954685
as	a	result 	50768	235.748139648917
in	the	early 	50542	234.698677791829
members	of	the 	50086	232.581179531510
the	city	of 	48844	226.813782954060
is	one	of 	48617	225.759677460436
the	use	of 	47519	220.660964544140
was	the	first 	46918	217.870138986131
According	to	the 	46569	216.249509835141
was	born	in 	44550	206.874007669384
of	the	first 	44508	206.678974934881
of	the	most 	44263	205.541283983612
at	the	end 	43649	202.690091150638
In	addition	to 	43353	201.315574736045
was	one	of 	42592	197.781767332310
a	series	of 	41406	192.274414400864
based	on	the 	40125	186.325915998519
the	number	of 	39909	185.322890506789
of	the	United 	39489	183.372563161757
to	be	a 	39398	182.949992237001
referred	to	as 	39346	182.708523137140
the	Battle	of 	39154	181.816944922268
in	the	late 	38460	178.594261166431
the	rest	of 	38396	178.297068428140
there	is	a 	38240	177.572661128557
of	the	city 	38130	177.061861109621
in	the	first 	37265	173.045115506163
the	age	of 	36973	171.689173637713
in	the	world 	36559	169.766708111897
also	known	as 	35762	166.065729792873
for	the	first 	35184	163.381707875187
to	be	the 	34990	162.480842387244
many	of	the 	34855	161.853951454913
the	first	time 	34440	159.926842292561
out	of	the 	33164	154.001562072894
New	York	City 	33143	153.904045705643
the	United	Kingdom 	32851	152.548103837192
well	as	the 	32791	152.269485645045
He	was	a 	31375	145.694096310368
It	is	a 	31242	145.076492651109
the	time	of 	31176	144.770012639746
in	New	York 	31159	144.691070818638
the	name	of 	31113	144.477463537992
of	the	Year 	31109	144.458888991849
side	of	the 	30981	143.864503515268
It	is	the 	30185	140.168168832780
President	of	the 	30074	139.652725177307
as	one	of 	29961	139.127994248763
located	in	the 	29875	138.728641506685
a	result	of 	29638	137.628099647704
version	of	the 	29635	137.614168738096
the	New	York 	29361	136.341812327290
a	variety	of 	29081	135.041594097269
the	same	time 	28514	132.408652181477
and	in	the 	28057	130.286510284622
the	beginning	of 	27994	129.993961182867
the	town	of 	27826	129.213830244855
at	the	same 	27573	128.038990201300
the	development	of 	27011	125.429266468187
to	have	been 	26995	125.354968283614
because	of	the 	26869	124.769870080105
at	the	University 	26764	124.282288243847
there	is	no 	26309	122.169433620063
the	fact	that 	26059	121.008524486116
much	of	the 	25753	119.587571706165
He	was	the 	25654	119.127851689122
at	the	age 	25604	118.895669862332
the	House	of 	25296	117.465429809309
It	was	the 	25150	116.787458875084
rest	of	the 	25003	116.104844304323
in	which	the 	24986	116.025902483215
went	on	to 	24598	114.224171507329
It	has	been 	24303	112.854298729271
is	located	at 	24211	112.427084167979
the	death	of 	24041	111.637665956895
parts	of	the 	23502	109.134745864104
a	group	of 	23441	108.851484035421
to	the	north 	23362	108.484636749094
all	of	the 	23265	108.034204005123
a	total	of 	23048	107.026534876856
is	located	in 	23043	107.003316694177
that	he	was 	22886	106.274265758059
It	is	also 	22822	105.977073019768
used	in	the 	21992	102.122854695064
the	majority	of 	21698	100.757625553542
the	history	of 	21679	100.669396459362
in	terms	of 	21574	100.181814623104
the	state	of 	21513	99.898552794421
is	also	a 	21362	99.197363677517
a	part	of 	21251	98.681920022044
to	the	south 	21241	98.635483656686
led	to	the 	20878	96.949843594195
part	of	a 	20853	96.833752680800
is	part	of 	20581	95.570683543066
that	it	was 	20470	95.055239887593
half	of	the 	20390	94.683748964730
along	with	the 	20378	94.628025326301
used	as	a 	20278	94.163661672722
the	son	of 	20154	93.587850742284
it	is	not 	19963	92.700916163949
the	form	of 	19861	92.227265237298
during	World	War 	19859	92.217977964227
the	site	of 	19760	91.758257947183
back	to	the 	19613	91.075643376423
the	following	year 	19604	91.033850647600
the	role	of 	19586	90.950265189956
to	the	United 	19582	90.931690643813
to	the	west 	19573	90.889897914991
at	that	time 	19091	88.651665104741
was	released	in 	19081	88.605228739383
use	of	the 	19014	88.294105091485
on	the	other 	18967	88.075854174303
when	he	was 	18936	87.931901441694
World	War	I 	18801	87.305010509362
the	creation	of 	18653	86.617752302065
can	be	used 	18451	85.679737721836
the	United	States 	18337	85.150363156756
the	construction	of 	18224	84.625632228212
the	same	year 	18220	84.607057682069
that	he	had 	17971	83.450792184658
it	was	a 	17908	83.158243082903
role	in	the 	17845	82.865693981148
prior	to	the 	17771	82.522064877500
to	the	east 	17753	82.438479419856
there	was	a 	17681	82.104137589279
in	front	of 	17551	81.500464839626
is	home	to 	17548	81.486533930019
The	population	was 	17488	81.207915737872
was	founded	in 	17404	80.817850268865
be	used	to 	17401	80.803919359258
was	able	to 	17290	80.288475703786
found	in	the 	17279	80.237395701892
returned	to	the 	17114	79.471195673487
is	known	as 	16978	78.839661104619
in	which	he 	16977	78.835017468084
between	the	two 	16872	78.347435631826
name	of	the 	16612	77.140090132521
became	the	first 	16602	77.093653767163
a	population	of 	16562	76.907908305731
beginning	of	the 	16550	76.852184667302
considered	to	be 	16519	76.708231934692
can	also	be 	16478	76.517842836725
is	the	only 	16426	76.276373736864
He	was	also 	16364	75.988468271645
the	most	important 	16298	75.681988260283
the	start	of 	16239	75.408013704672
one	of	his 	16135	74.925075504950
the	presence	of 	16005	74.321402755297
Hall	of	Fame 	15919	73.922050013219
was	released	on 	15637	72.612544510127
by	the	end 	15465	71.813839025971
is	also	the 	15428	71.642024474147
leader	of	the 	15342	71.242671732069
control	of	the 	15319	71.135868091746
that	of	the 	15251	70.820100807313
similar	to	the 	15242	70.778308078490
is	in	the 	15233	70.736515349668
portion	of	the 	15158	70.388242609484
is	an	American 	15120	70.211784421124
the	case	of 	15040	69.840293498261
it	was	not 	14956	69.450228029255
well	as	a 	14899	69.185540746715
when	it	was 	14696	68.242882529950
the	center	of 	14692	68.224307983807
has	also	been 	14685	68.191802528056
head	of	the 	14652	68.038562522375
the	course	of 	14635	67.959620701267
history	of	the 	14628	67.927115245516
that	it	is 	14584	67.722795237941
and	it	was 	14519	67.420958863115
chairman	of	the 	14502	67.342017042007
can	be	found 	14498	67.323442495864
around	the	world 	14432	67.016962484502
is	based	on 	14401	66.873009751892
north	of	the 	14398	66.859078842285
located	on	the 	14376	66.756918838497
was	also	a 	14301	66.408646098313
United	States	and 	14243	66.139315179238
associated	with	the 	14205	65.962856990878
the	middle	of 	14200	65.939638808199
the	summer	of 	14059	65.284886056652
south	of	the 	14054	65.261667873974
the	fall	of 	14017	65.089853322149
This	is	a 	13917	64.625489668570
top	of	the 	13877	64.439744207139
the	Church	of 	13826	64.202918743814
can	be	seen 	13814	64.147195105384
This	is	the 	13795	64.058966011204
in	North	America 	13704	63.636395086447
may	have	been 	13704	63.636395086447
and	it	is 	13693	63.585315084554
time	of	the 	13650	63.385638713515
was	established	in 	13627	63.278835073192
in	response	to 	13606	63.181318705940
was	a	member 	13580	63.060584156010
the	release	of 	13476	62.577645956288
result	of	the 	13444	62.429049587142
the	head	of 	13435	62.387256858320
the	Order	of 	13431	62.368682312177
addition	to	the 	13430	62.364038675641
was	part	of 	13374	62.103995029637
depending	on	the 	13350	61.992547752778
be	able	to 	13335	61.922893204741
The	film	was 	13335	61.922893204741
There	are	also 	13278	61.658205922202
served	as	a 	13263	61.588551374165
he	did	not 	13250	61.528184099199
an	attempt	to 	13206	61.323864091625
the	village	of 	13179	61.198485905158
the	top	of 	13172	61.165980449408
the	other	hand 	13164	61.128831357122
was	replaced	by 	13138	61.008096807191
and	his	wife 	13102	60.840925891903
the	idea	of 	13069	60.687685886222
This	was	the 	13032	60.515871334398
up	to	the 	13024	60.478722242111
development	of	the 	13016	60.441573149825
was	built	in 	12997	60.353344055645
