Word 1	Word 2	Word 3	Word 4	Count	perMillion
the	end	of	the 	56298	261.427449691829
at	the	end	of 	41035	190.551625246087
is	one	of	the 	35272	163.790347890337
one	of	the	most 	35098	162.982355133109
as	well	as	the 	32734	152.004798362505
was	one	of	the 	30410	141.212987053332
as	part	of	the 	27530	127.839313830261
as	a	result	of 	26276	122.016193614382
for	the	first	time 	25714	119.406469881269
at	the	age	of 	25527	118.538109849076
the	rest	of	the 	24754	114.948578806912
at	the	same	time 	23217	107.811309451405
as	one	of	the 	22174	102.967996544577
at	the	time	of 	18754	87.086759592180
the	beginning	of	the 	15937	74.005635470864
one	of	the	first 	15323	71.154442637889
is	part	of	the 	15308	71.084788089852
by	the	end	of 	15189	70.532195342094
in	the	form	of 	14791	68.684028000850
as	well	as	a 	14771	68.591155270134
in	the	United	Kingdom 	14721	68.358973443345
the	name	of	the 	13253	61.542115008807
On	the	other	hand 	12956	60.162954957678
in	the	case	of 	12360	57.395347582348
the	time	of	the 	12348	57.339623943918
In	addition	to	the 	12083	56.109060261934
is	located	in	the 	11420	53.030329238706
a	part	of	the 	11179	51.911212833581
at	the	beginning	of 	11113	51.604732822219
the	start	of	the 	10295	47.806238135944
a	result	of	the 	10213	47.425459940009
in	the	summer	of 	10023	46.543168998210
a	large	number	of 	9749	45.270812587403
also	known	as	the 	9649	44.806448933825
the	site	of	the 	9304	43.204394328978
the	middle	of	the 	9294	43.157957963620
the	top	of	the 	9280	43.092947052119
as	part	of	a 	9271	43.051154323296
referred	to	as	the 	9170	42.582147033182
the	first	time	in 	8937	41.500179720343
one	of	the	largest 	8917	41.407306989627
in	the	middle	of 	8794	40.836139695725
in	an	attempt	to 	8726	40.520372411292
of	the	city	of 	8600	39.935274207782
can	be	used	to 	8449	39.234085090878
with	the	exception	of 	8398	38.997259627553
the	history	of	the 	8318	38.625768704690
in	the	history	of 	8224	38.189266870326
it	was	announced	that 	8048	37.371986840027
was	part	of	the 	8013	37.209459561274
the	majority	of	the 	7951	36.921554096055
of	the	same	name 	7916	36.759026817303
The	New	York	Times 	7840	36.406110440583
a	wide	range	of 	7805	36.243583161830
one	of	the	few 	7639	35.472739496889
the	development	of	the 	7614	35.356648583495
in	the	same	year 	7579	35.194121304742
There	is	also	a 	7566	35.133754029777
and	the	United	States 	7564	35.124466756705
in	front	of	the 	7544	35.031594025990
the	center	of	the 	7420	34.455783095552
the	use	of	the 	7385	34.293255816799
the	construction	of	the 	7344	34.102866718832
in	the	city	of 	7225	33.550273971073
with	the	help	of 	7188	33.378459419249
It	is	one	of 	7162	33.257724869318
one	of	the	best 	7139	33.150921228995
had	a	population	of 	6977	32.398652110197
the	head	of	the 	6823	31.683532083686
in	a	number	of 	6807	31.609233899113
was	elected	to	the 	6804	31.595302989506
and	one	of	the 	6794	31.548866624148
the	President	of	the 	6722	31.214524793571
the	creation	of	the 	6691	31.070572060962
a	member	of	the 	6686	31.047353878283
a	wide	variety	of 	6652	30.889470236066
after	the	death	of 	6549	30.411175672880
the	course	of	the 	6464	30.016466567338
at	the	start	of 	6400	29.719273829047
can	be	found	in 	6400	29.719273829047
is	said	to	have 	6374	29.598539279117
became	one	of	the 	6265	29.092382896716
under	the	command	of 	6258	29.059877440965
for	the	rest	of 	6247	29.008797439072
It	was	the	first 	6242	28.985579256393
is	located	on	the 	6172	28.660524698888
the	fact	that	the 	6165	28.628019243137
the	size	of	the 	6084	28.251884683738
is	known	as	the 	6053	28.107931951129
is	based	on	the 	6025	27.977910128127
is	home	to	the 	6012	27.917542853161
the	remainder	of	the 	5989	27.810739212838
in	the	spring	of 	5946	27.611062841799
to	the	United	States 	5936	27.564626476441
is	a	city	in 	5886	27.332444649652
on	the	basis	of 	5865	27.234928282400
He	was	one	of 	5736	26.635899169284
until	the	end	of 	5708	26.505877346282
of	the	Order	of 	5672	26.338706430993
in	the	state	of 	5657	26.269051882956
became	part	of	the 	5620	26.097237331132
is	a	town	in 	5529	25.674666406375
is	also	home	to 	5508	25.577150039124
He	was	a	member 	5466	25.382117304621
in	the	fall	of 	5439	25.256739118154
It	is	part	of 	5411	25.126717295152
the	first	half	of 	5394	25.047775474044
was	the	son	of 	5380	24.982764562543
as	well	as	in 	5328	24.741295462682
He	was	born	in 	5314	24.676284551181
in	the	first	round 	5269	24.467320907070
the	second	half	of 	5244	24.351229993676
took	part	in	the 	5244	24.351229993676
the	Order	of	the 	5217	24.225851807209
is	best	known	for 	5206	24.174771805316
the	leader	of	the 	5184	24.072611801528
over	the	course	of 	5166	23.989026343884
of	the	most	important 	5158	23.951877251598
became	known	as	the 	5130	23.821855428596
the	form	of	a 	5122	23.784706336309
the	location	of	the 	5112	23.738269970952
the	United	States	Navy 	5108	23.719695424808
in	an	effort	to 	5092	23.645397240236
in	New	York	City 	5014	23.283193590444
of	the	Soviet	Union 	5008	23.255331771230
is	considered	to	be 	4999	23.213539042407
the	establishment	of	the 	4997	23.204251769336
the	bottom	of	the 	4996	23.199608132800
it	is	possible	to 	4927	22.879197211831
in	the	context	of 	4874	22.633084475434
best	known	for	his 	4858	22.558786290861
in	the	face	of 	4844	22.493775379360
towards	the	end	of 	4843	22.489131742824
is	a	list	of 	4842	22.484488106289
of	a	number	of 	4834	22.447339014002
It	was	not	until 	4816	22.363753556358
end	of	the	war 	4785	22.219800823749
was	the	first	to 	4776	22.178008094927
until	his	death	in 	4744	22.029411725781
often	referred	to	as 	4737	21.996906270031
the	opening	of	the 	4722	21.927251721994
in	the	development	of 	4692	21.787942625920
in	the	field	of 	4690	21.778655352849
the	members	of	the 	4684	21.750793533634
to	be	one	of 	4680	21.732218987491
in	the	town	of 	4659	21.634702620239
in	response	to	the 	4645	21.569691708738
of	one	of	the 	4638	21.537186252988
sometimes	referred	to	as 	4615	21.430382612665
at	the	top	of 	4612	21.416451703057
is	served	by	the 	4568	21.212131695483
and	a	number	of 	4566	21.202844422411
he	was	awarded	the 	4554	21.147120783981
was	inducted	into	the 	4522	20.998524414836
be	one	of	the 	4517	20.975306232157
is	referred	to	as 	4502	20.905651684120
in	a	series	of 	4483	20.817422589940
in	a	variety	of 	4475	20.780273497654
during	the	reign	of 	4472	20.766342588047
the	mouth	of	the 	4451	20.668826220795
the	formation	of	the 	4407	20.464506213221
the	capital	of	the 	4394	20.404138938255
is	said	to	be 	4375	20.315909844075
in	the	wake	of 	4360	20.246255296038
second	half	of	the 	4360	20.246255296038
one	of	the	oldest 	4351	20.204462567216
a	great	deal	of 	4332	20.116233473036
one	of	the	main 	4322	20.069797107679
is	also	known	as 	4271	19.832971644353
This	was	the	first 	4256	19.763317096316
to	the	north	of 	4251	19.740098913638
the	home	of	the 	4249	19.730811640566
of	the	Republic	of 	4243	19.702949821351
the	origin	of	the 	4234	19.661157092529
some	of	the	most 	4231	19.647226182922
for	the	purpose	of 	4219	19.591502544492
the	length	of	the 	4211	19.554353452206
first	half	of	the 	4195	19.480055267633
the	introduction	of	the 	4168	19.354677081167
Hall	of	Fame	in 	4165	19.340746171560
in	the	course	of 	4148	19.261804350451
to	the	west	of 	4137	19.210724348558
in	one	of	the 	4123	19.145713437057
a	number	of	other 	4116	19.113207981306
to	be	able	to 	4113	19.099277071699
the	side	of	the 	4110	19.085346162091
at	the	University	of 	4101	19.043553433269
is	derived	from	the 	4097	19.024978887126
the	rest	of	his 	4089	18.987829794840
the	time	of	his 	4060	18.853164335302
on	behalf	of	the 	4023	18.681349783478
He	was	the	first 	4002	18.583833416226
for	a	number	of 	3982	18.490960685510
the	end	of	his 	3965	18.412018864402
as	a	part	of 	3963	18.402731591330
the	death	of	his 	3960	18.388800681723
can	be	seen	in 	3956	18.370226135580
referred	to	as	a 	3956	18.370226135580
to	the	east	of 	3954	18.360938862508
